latitude,longitude,travel_agency_hs,hotels_online_hs,hotels_offline_hs,grocery_stores_fb,electronics_appliances_hs
1.279,103.845,8,1,4,12,13
1.279,103.846,4,3,2,9,10
1.279,103.847,3,2,3,10,10
1.279,103.848,2,2,2,12,12
1.279,103.850,1,2,1,13,5
1.279,103.851,1,1,1,15,10
1.279,103.852,2,12,1,16,13
1.279,103.854,2,3,7,17,19
1.28,103.801,18,1,18,17,0
1.28,103.802,19,0,14,2,0
1.28,103.805,8,20,1,14,1
1.28,103.806,7,0,14,12,20
1.28,103.807,18,9,20,12,0
1.28,103.809,9,20,17,12,14
1.28,103.810,4,17,13,9,18
1.28,103.811,12,3,7,7,20
1.28,103.812,11,15,15,4,12
1.28,103.814,4,7,1,6,11
1.28,103.816,7,13,6,7,11
1.28,103.817,10,11,10,1,8
1.28,103.818,3,3,2,1,14
1.28,103.819,1,5,7,6,16
1.28,103.820,9,12,6,9,5
1.28,103.821,12,6,12,12,12
1.28,103.824,10,13,13,8,12
1.28,103.825,8,13,14,13,15
1.28,103.826,11,5,14,13,17
1.28,103.829,9,2,7,11,11
1.28,103.830,9,8,12,8,15
1.28,103.831,10,6,3,13,11
1.28,103.835,10,13,10,11,15
1.28,103.837,10,10,5,14,10
1.28,103.838,9,12,11,11,11
1.28,103.840,13,8,10,12,12
1.28,103.841,10,7,6,14,13
1.28,103.842,11,13,9,11,14
1.28,103.843,10,10,10,13,14
1.28,103.845,7,10,7,14,9
1.28,103.847,6,5,6,10,11
1.28,103.850,2,2,1,11,11
1.28,103.851,1,2,1,12,6
1.28,103.852,1,1,1,5,11
1.28,103.853,1,3,1,10,3
1.28,103.855,2,1,8,8,11
1.281,103.803,10,7,7,19,0
1.281,103.805,16,0,12,14,15
1.281,103.806,2,7,17,6,20
1.281,103.808,8,14,9,1,20
1.281,103.811,3,1,16,12,12
1.281,103.813,6,1,1,6,13
1.281,103.814,1,5,9,2,10
1.281,103.816,1,9,11,3,9
1.281,103.818,2,4,5,8,15
1.281,103.819,3,9,11,8,12
1.281,103.820,12,12,10,4,16
1.281,103.825,11,17,14,5,12
1.281,103.829,1,1,4,4,5
1.281,103.831,9,8,12,12,12
1.281,103.833,10,8,8,11,14
1.281,103.834,10,12,7,11,15
1.281,103.835,11,9,8,9,10
1.281,103.836,7,4,1,12,13
1.281,103.837,10,12,11,9,13
1.281,103.839,8,5,8,11,14
1.281,103.842,5,6,4,11,9
1.281,103.843,11,6,8,12,12
1.281,103.846,7,8,5,11,12
1.281,103.847,3,5,4,10,12
1.281,103.852,1,10,1,13,12
1.281,103.853,1,2,1,14,8
1.281,103.854,1,11,5,12,13
1.281,103.856,1,18,6,16,2
1.281,103.858,16,0,18,20,0
1.282,103.794,6,17,19,7,20
1.282,103.803,18,0,0,0,16
1.282,103.804,5,0,16,8,19
1.282,103.809,1,0,9,8,4
1.282,103.813,8,1,17,13,10
1.282,103.814,1,4,7,3,9
1.282,103.816,7,10,3,2,15
1.282,103.817,7,4,6,7,10
1.282,103.819,7,14,3,8,5
1.282,103.821,13,9,9,6,10
1.282,103.823,11,11,3,10,12
1.282,103.826,5,10,13,7,12
1.282,103.827,7,7,4,13,16
1.282,103.830,3,5,4,6,11
1.282,103.831,7,10,8,9,12
1.282,103.832,2,3,3,9,9
1.282,103.839,4,5,5,9,6
1.282,103.843,5,4,5,11,11
1.282,103.844,6,7,3,12,11
1.282,103.845,4,6,5,11,12
1.282,103.847,2,4,4,9,11
1.282,103.849,1,3,1,9,9
1.282,103.850,1,2,1,11,7
1.282,103.851,2,3,1,13,7
1.282,103.854,1,1,1,1,5
1.282,103.855,12,6,8,19,18
1.282,103.857,16,18,1,20,19
1.282,103.859,14,2,2,15,11
1.282,103.865,20,0,19,0,10
1.283,103.799,0,0,0,11,0
1.283,103.801,19,0,0,20,1
1.283,103.806,3,18,16,18,5
1.283,103.809,17,15,9,1,15
1.283,103.815,11,17,5,10,6
1.283,103.816,5,2,5,4,9
1.283,103.818,2,2,6,3,15
1.283,103.819,8,9,11,10,14
1.283,103.821,6,4,12,8,15
1.283,103.823,1,8,7,2,7
1.283,103.824,10,9,2,8,2
1.283,103.825,1,8,3,6,9
1.283,103.826,10,12,6,7,8
1.283,103.827,1,10,4,7,7
1.283,103.828,5,2,7,9,14
1.283,103.829,2,4,6,4,12
1.283,103.831,4,11,5,3,4
1.283,103.832,5,12,5,7,4
1.283,103.833,5,4,8,7,9
1.283,103.834,4,11,6,7,12
1.283,103.836,4,3,3,5,10
1.283,103.838,5,3,3,9,13
1.283,103.839,6,6,5,7,8
1.283,103.840,1,9,5,7,10
1.283,103.842,4,4,4,9,8
1.283,103.844,7,5,3,11,11
1.283,103.849,1,3,1,9,8
1.283,103.850,1,2,1,10,6
1.283,103.851,1,3,1,12,5
1.283,103.854,1,6,1,1,4
1.283,103.855,3,12,3,17,3
1.283,103.856,2,9,1,14,20
1.283,103.857,2,1,7,19,11
1.283,103.859,14,4,1,16,2
1.283,103.861,6,14,16,20,19
1.283,103.864,11,15,18,17,0
1.283,103.865,0,6,2,19,0
1.284,103.793,16,0,15,17,15
1.284,103.804,0,0,7,15,1
1.284,103.806,9,15,2,3,13
1.284,103.808,14,16,19,14,0
1.284,103.812,12,15,14,12,13
1.284,103.816,2,2,1,5,4
1.284,103.817,10,0,7,8,5
1.284,103.819,11,5,8,8,14
1.284,103.820,11,14,10,10,13
1.284,103.821,6,4,8,7,11
1.284,103.825,3,7,2,10,9
1.284,103.826,3,9,6,7,8
1.284,103.827,9,9,11,10,8
1.284,103.829,6,3,5,5,4
1.284,103.831,2,8,3,6,5
1.284,103.835,8,8,7,6,3
1.284,103.837,4,4,5,8,8
1.284,103.839,3,1,2,6,8
1.284,103.842,1,7,3,10,11
1.284,103.844,5,6,4,12,11
1.284,103.845,3,2,3,9,12
1.284,103.846,2,5,3,6,9
1.284,103.848,2,3,2,9,12
1.284,103.849,1,3,1,8,8
1.284,103.852,1,2,1,15,3
1.284,103.854,2,8,3,16,15
1.284,103.857,13,0,1,12,6
1.284,103.858,18,20,13,16,18
1.284,103.859,6,0,10,20,19
1.284,103.861,0,0,18,0,18
1.284,103.862,14,0,11,18,0
1.285,103.801,14,0,2,15,8
1.285,103.803,20,0,14,6,2
1.285,103.804,19,0,20,10,5
1.285,103.805,16,0,16,17,1
1.285,103.806,11,3,0,18,18
1.285,103.807,17,15,1,14,10
1.285,103.808,17,20,17,16,20
1.285,103.809,1,15,3,12,6
1.285,103.811,15,10,7,16,17
1.285,103.813,10,13,7,16,13
1.285,103.814,5,13,11,11,12
1.285,103.815,2,7,15,12,11
1.285,103.819,3,10,10,7,12
1.285,103.820,9,16,3,7,5
1.285,103.821,1,5,5,12,2
1.285,103.822,7,10,3,9,7
1.285,103.823,6,10,11,8,6
1.285,103.826,3,9,7,8,13
1.285,103.828,5,2,9,6,10
1.285,103.829,4,5,6,6,14
1.285,103.830,9,8,6,7,8
1.285,103.831,6,8,6,9,7
1.285,103.832,2,6,6,7,12
1.285,103.834,3,8,5,6,11
1.285,103.835,3,6,2,9,11
1.285,103.836,3,2,2,8,8
1.285,103.838,1,3,2,6,11
1.285,103.840,2,2,2,6,10
1.285,103.846,1,4,2,8,7
1.285,103.850,1,5,2,10,7
1.285,103.851,1,1,2,14,9
1.285,103.852,2,10,1,15,9
1.285,103.853,5,7,4,12,8
1.285,103.854,1,13,3,14,17
1.285,103.861,11,5,1,18,1
1.286,103.791,12,0,18,9,20
1.286,103.792,7,10,16,13,14
1.286,103.800,1,0,0,0,17
1.286,103.801,13,1,12,13,0
1.286,103.804,4,20,19,3,2
1.286,103.808,3,0,4,20,15
1.286,103.809,14,2,13,9,19
1.286,103.810,5,15,7,10,13
1.286,103.811,9,20,11,17,18
1.286,103.812,15,15,9,12,18
1.286,103.817,11,13,14,4,16
1.286,103.818,10,12,14,13,15
1.286,103.820,11,9,8,6,3
1.286,103.821,2,4,5,2,12
1.286,103.822,4,8,5,11,12
1.286,103.827,4,7,1,5,9
1.286,103.828,7,10,2,10,13
1.286,103.829,5,3,8,7,11
1.286,103.830,5,12,2,9,11
1.286,103.832,3,4,4,8,3
1.286,103.833,4,4,5,4,9
1.286,103.835,5,6,4,5,8
1.286,103.838,1,2,3,8,10
1.286,103.840,2,4,2,5,9
1.286,103.843,4,3,3,11,11
1.286,103.844,2,2,3,10,9
1.286,103.845,1,2,1,6,6
1.286,103.846,2,4,2,7,7
1.286,103.848,1,3,2,9,10
1.286,103.849,1,1,1,8,8
1.286,103.850,1,3,1,10,7
1.286,103.852,4,3,3,13,7
1.286,103.854,1,9,1,17,10
1.286,103.856,1,11,3,17,11
1.286,103.857,11,14,8,15,14
1.286,103.858,6,2,3,18,11
1.286,103.861,18,10,18,18,18
1.286,103.863,20,0,16,19,6
1.287,103.800,1,20,0,8,1
1.287,103.801,13,0,11,7,0
1.287,103.803,19,0,16,3,20
1.287,103.804,16,0,11,12,12
1.287,103.805,17,0,12,15,14
1.287,103.807,6,8,19,10,15
1.287,103.808,17,0,19,10,2
1.287,103.809,16,0,13,16,13
1.287,103.811,17,11,9,3,7
1.287,103.812,14,10,15,11,18
1.287,103.813,17,20,10,13,13
1.287,103.814,3,3,12,13,5
1.287,103.815,5,1,5,8,13
1.287,103.816,7,0,15,12,16
1.287,103.818,7,11,11,10,14
1.287,103.820,12,7,14,11,5
1.287,103.821,6,8,8,5,14
1.287,103.823,5,2,10,8,11
1.287,103.827,4,7,2,5,13
1.287,103.829,5,10,5,7,8
1.287,103.830,3,5,6,9,11
1.287,103.831,1,2,7,7,7
1.287,103.838,2,5,2,7,6
1.287,103.839,2,3,2,8,7
1.287,103.842,3,3,2,10,9
1.287,103.843,4,5,3,10,11
1.287,103.844,2,2,1,9,2
1.287,103.850,1,4,2,9,10
1.287,103.851,1,1,1,8,9
1.287,103.857,1,9,1,17,9
1.287,103.858,1,8,10,14,15
1.287,103.861,17,15,16,18,12
1.287,103.863,12,4,7,17,20
1.287,103.864,1,12,3,19,20
1.287,103.865,19,0,6,17,10
1.288,103.791,5,18,12,6,15
1.288,103.796,17,0,18,16,20
1.288,103.797,0,0,15,6,0
1.288,103.798,3,7,20,18,2
1.288,103.799,12,20,16,10,0
1.288,103.803,3,0,4,5,16
1.288,103.806,14,16,20,2,3
1.288,103.810,11,12,10,10,8
1.288,103.815,13,0,11,16,9
1.288,103.816,11,14,5,11,18
1.288,103.817,11,18,8,3,11
1.288,103.818,4,2,12,8,9
1.288,103.820,4,11,5,9,6
1.288,103.823,2,7,7,2,8
1.288,103.826,10,9,6,7,11
1.288,103.827,2,7,3,6,12
1.288,103.828,10,5,4,5,11
1.288,103.829,6,13,3,8,10
1.288,103.832,3,3,4,8,3
1.288,103.834,4,9,5,9,5
1.288,103.835,3,4,2,4,7
1.288,103.840,1,2,1,7,3
1.288,103.843,3,6,3,10,8
1.288,103.845,1,1,1,7,4
1.288,103.847,1,2,1,7,8
1.288,103.849,1,2,2,10,8
1.288,103.850,1,1,2,10,7
1.288,103.853,2,12,1,11,5
1.288,103.855,7,8,3,14,4
1.288,103.857,6,7,6,14,9
1.288,103.863,8,18,16,20,20
1.288,103.866,17,0,14,20,20
1.288,103.867,17,20,14,20,20
1.288,103.870,15,0,19,0,0
1.289,103.790,11,0,19,4,16
1.289,103.791,16,0,20,0,16
1.289,103.793,20,0,1,15,1
1.289,103.797,8,18,7,9,0
1.289,103.798,17,0,17,18,17
1.289,103.800,11,0,17,13,17
1.289,103.801,4,0,3,0,20
1.289,103.802,8,2,17,1,20
1.289,103.808,15,0,20,13,19
1.289,103.809,16,0,12,12,15
1.289,103.810,10,15,6,7,1
1.289,103.812,11,16,14,11,14
1.289,103.813,9,16,8,15,14
1.289,103.814,13,13,13,11,2
1.289,103.816,6,3,8,15,13
1.289,103.817,6,16,1,3,14
1.289,103.818,2,15,3,14,9
1.289,103.819,9,6,1,4,8
1.289,103.821,1,4,2,9,14
1.289,103.822,7,11,11,11,5
1.289,103.823,8,11,7,8,8
1.289,103.824,7,10,10,8,15
1.289,103.829,5,12,8,8,13
1.289,103.832,3,4,4,10,14
1.289,103.833,5,5,4,8,7
1.289,103.834,4,4,3,11,9
1.289,103.836,2,4,3,9,5
1.289,103.837,3,3,2,6,5
1.289,103.838,1,4,1,9,5
1.289,103.839,2,2,2,7,7
1.289,103.843,2,4,1,9,7
1.289,103.845,1,2,1,8,7
1.289,103.846,1,2,1,8,6
1.289,103.847,1,1,1,7,6
1.289,103.848,1,3,1,6,5
1.289,103.852,1,2,2,10,5
1.289,103.853,3,5,2,9,10
1.289,103.854,5,6,2,9,9
1.289,103.856,4,7,5,14,11
1.289,103.857,7,11,2,16,9
1.289,103.858,14,7,6,15,13
1.289,103.861,2,20,2,17,15
1.289,103.867,20,0,3,20,17
1.289,103.868,20,6,19,17,20
1.289,103.871,17,9,17,14,3
1.29,103.788,0,0,20,0,0
1.29,103.790,17,17,16,18,19
1.29,103.793,18,10,18,11,1
1.29,103.795,7,0,17,0,0
1.29,103.798,15,0,19,19,6
1.29,103.805,13,2,20,14,15
1.29,103.806,8,0,12,15,10
1.29,103.808,10,16,18,12,15
1.29,103.810,14,16,14,1,14
1.29,103.813,6,14,6,11,4
1.29,103.815,7,2,10,13,13
1.29,103.816,5,2,6,6,5
1.29,103.817,13,5,9,11,18
1.29,103.819,1,13,1,10,12
1.29,103.820,10,10,1,11,10
1.29,103.821,8,10,4,11,14
1.29,103.822,12,17,8,7,14
1.29,103.823,8,10,11,12,14
1.29,103.824,11,5,6,13,12
1.29,103.826,5,8,7,9,15
1.29,103.828,6,6,4,11,10
1.29,103.829,3,2,1,5,10
1.29,103.830,8,8,4,10,14
1.29,103.831,5,9,5,9,10
1.29,103.832,3,8,2,11,3
1.29,103.833,4,9,3,6,8
1.29,103.834,3,9,5,9,8
1.29,103.836,4,5,3,9,8
1.29,103.839,2,3,1,6,2
1.29,103.840,2,3,2,8,7
1.29,103.843,2,3,1,8,7
1.29,103.844,1,2,1,8,4
1.29,103.848,1,4,1,8,6
1.29,103.851,2,1,2,9,9
1.29,103.854,3,8,2,7,7
1.29,103.857,10,11,5,12,14
1.29,103.858,10,16,6,18,14
1.29,103.860,11,14,6,11,12
1.29,103.863,10,15,3,18,6
1.29,103.864,15,14,3,14,14
1.29,103.865,13,2,9,17,14
1.29,103.866,10,6,2,19,16
1.29,103.869,20,0,12,18,16
1.291,103.789,18,0,7,13,14
1.291,103.790,15,0,18,13,19
1.291,103.795,15,17,6,17,1
1.291,103.796,19,0,0,0,0
1.291,103.797,6,0,11,0,0
1.291,103.798,9,0,0,20,20
1.291,103.802,17,0,1,11,19
1.291,103.804,7,15,19,19,14
1.291,103.810,7,8,10,12,12
1.291,103.811,16,16,8,18,16
1.291,103.813,14,6,13,11,17
1.291,103.814,10,18,16,14,8
1.291,103.815,5,15,11,12,14
1.291,103.816,10,16,17,7,7
1.291,103.817,1,11,6,12,9
1.291,103.818,13,15,13,10,11
1.291,103.823,7,8,11,11,3
1.291,103.824,4,6,9,11,9
1.291,103.825,2,5,5,11,12
1.291,103.826,5,7,4,7,11
1.291,103.827,6,12,3,9,11
1.291,103.828,7,4,8,8,8
1.291,103.829,6,3,2,9,6
1.291,103.831,5,3,6,9,13
1.291,103.832,5,4,4,7,9
1.291,103.839,2,3,1,8,7
1.291,103.840,2,1,1,10,5
1.291,103.842,2,3,2,11,9
1.291,103.843,1,2,1,9,3
1.291,103.848,1,2,1,8,5
1.291,103.849,2,3,1,9,7
1.291,103.851,2,5,2,7,7
1.291,103.853,4,7,2,12,11
1.291,103.855,4,3,2,10,6
1.291,103.857,6,5,4,13,12
1.291,103.861,1,8,6,14,10
1.291,103.862,11,6,11,15,13
1.291,103.865,14,5,10,16,9
1.291,103.868,17,15,14,18,15
1.291,103.869,4,0,10,18,2
1.291,103.871,10,15,5,18,11
1.291,103.872,18,0,5,20,20
1.291,103.874,19,0,11,20,0
1.291,103.876,9,1,8,0,0
1.292,103.789,19,0,18,14,18
1.292,103.790,1,3,19,3,14
1.292,103.791,17,0,19,15,17
1.292,103.793,0,0,11,17,18
1.292,103.794,14,16,1,0,15
1.292,103.797,18,14,18,16,12
1.292,103.799,17,0,14,12,12
1.292,103.802,10,0,9,8,4
1.292,103.804,18,4,11,1,18
1.292,103.805,15,18,14,12,15
1.292,103.809,4,20,9,12,12
1.292,103.813,8,13,8,13,11
1.292,103.814,13,9,3,14,16
1.292,103.815,7,16,12,15,14
1.292,103.819,2,6,7,10,15
1.292,103.820,14,11,8,12,16
1.292,103.824,9,7,4,7,7
1.292,103.825,1,4,7,9,13
1.292,103.827,5,7,3,11,9
1.292,103.828,5,4,10,11,13
1.292,103.830,6,2,4,5,8
1.292,103.831,4,2,2,5,7
1.292,103.832,8,3,5,7,4
1.292,103.835,2,4,2,7,7
1.292,103.836,1,1,1,7,2
1.292,103.839,1,4,2,11,4
1.292,103.840,4,4,2,10,5
1.292,103.841,3,5,2,11,8
1.292,103.842,1,2,1,8,6
1.292,103.846,2,3,1,9,6
1.292,103.847,1,1,1,8,4
1.292,103.848,2,4,1,7,6
1.292,103.849,1,2,2,9,5
1.292,103.850,1,5,2,8,7
1.292,103.851,3,3,3,10,7
1.292,103.853,2,5,3,10,9
1.292,103.854,4,2,2,11,8
1.292,103.856,2,8,4,8,9
1.292,103.861,6,11,9,15,8
1.292,103.866,14,3,7,16,16
1.292,103.867,8,14,2,16,17
1.292,103.868,9,0,1,17,15
1.292,103.869,14,10,8,16,15
1.292,103.872,18,0,12,0,16
1.292,103.874,18,0,16,17,19
1.292,103.875,14,0,17,0,17
1.292,103.876,18,0,7,19,14
1.292,103.877,1,0,18,0,0
1.292,103.878,0,0,18,0,19
1.293,103.788,20,0,1,0,11
1.293,103.800,8,9,16,14,19
1.293,103.802,11,4,2,7,18
1.293,103.804,13,6,2,11,17
1.293,103.807,13,20,14,15,6
1.293,103.810,15,9,11,13,16
1.293,103.811,10,6,8,13,12
1.293,103.812,11,18,4,4,2
1.293,103.813,7,3,12,10,1
1.293,103.814,16,7,10,14,2
1.293,103.816,14,12,4,8,15
1.293,103.817,9,16,3,12,15
1.293,103.818,10,9,10,12,5
1.293,103.819,15,15,7,13,15
1.293,103.820,3,4,4,11,8
1.293,103.822,8,7,4,7,7
1.293,103.824,9,4,4,11,13
1.293,103.825,10,11,7,10,6
1.293,103.828,1,17,5,10,10
1.293,103.829,6,6,3,10,10
1.293,103.830,1,4,5,9,9
1.293,103.831,4,2,5,7,8
1.293,103.832,4,3,3,10,4
1.293,103.838,2,2,1,7,6
1.293,103.840,2,4,1,7,5
1.293,103.841,3,6,2,12,6
1.293,103.844,1,2,1,10,3
1.293,103.847,1,2,1,6,6
1.293,103.848,2,3,1,7,6
1.293,103.852,2,4,2,8,11
1.293,103.854,2,4,3,10,5
1.293,103.857,6,8,3,10,10
1.293,103.862,9,6,7,13,9
1.293,103.863,6,15,5,12,4
1.293,103.867,7,1,3,17,15
1.293,103.869,14,8,7,14,17
1.293,103.871,8,20,3,16,17
1.293,103.874,8,0,16,13,16
1.293,103.882,0,0,0,20,0
1.294,103.782,9,0,16,19,20
1.294,103.785,20,0,19,0,20
1.294,103.787,18,4,0,15,17
1.294,103.789,2,1,1,12,15
1.294,103.790,1,0,0,13,14
