latitude,longitude,beauty_medical_hs,sporting_goods_fb,restaurants_hs,apparel_fb
1.487,103.696,4,3,13,4
1.487,103.697,19,3,4,0
1.487,103.7,2,1,2,5
1.487,103.705,9,12,1,12
1.487,103.707,0,0,12,0
1.487,103.712,18,0,19,0
1.487,103.713,0,14,6,14
1.487,103.715,19,8,14,0
1.487,103.716,11,10,14,12
1.487,103.722,0,20,11,17
1.487,103.726,0,6,15,14
1.487,103.728,19,17,16,15
1.487,103.732,16,10,19,4
1.487,103.736,0,1,11,16
1.487,103.739,12,2,3,2
1.487,103.74,16,14,15,9
1.487,103.741,11,9,17,0
1.487,103.744,13,5,11,5
1.487,103.745,1,15,5,1
1.487,103.747,15,9,11,19
1.487,103.748,8,10,10,3
1.487,103.749,10,9,18,6
1.487,103.751,3,5,14,8
1.487,103.752,8,5,14,0
1.487,103.754,18,5,14,0
1.487,103.755,7,17,1,0
1.487,103.756,16,15,14,0
1.487,103.758,4,15,9,1
1.487,103.759,7,20,13,19
1.487,103.76,20,20,15,11
1.487,103.761,8,3,10,16
1.487,103.762,15,17,8,0
1.487,103.763,8,10,11,8
1.487,103.766,16,18,14,18
1.487,103.767,10,6,5,18
1.487,103.768,8,9,11,3
1.487,103.769,3,11,11,14
1.487,103.771,19,8,2,15
1.487,103.772,4,9,4,7
1.487,103.776,1,12,4,0
1.487,103.877,0,4,18,0
1.487,103.878,7,17,13,1
1.487,103.886,14,20,20,20
1.487,103.905,18,16,17,8
1.487,103.908,0,0,20,0
1.487,103.933,20,13,20,0
1.487,103.934,0,12,13,13
1.487,103.937,18,9,8,19
1.487,103.938,0,9,10,16
1.487,103.94,17,18,16,16
1.487,103.941,13,0,14,18
1.488,103.656,0,1,17,0
1.488,103.658,13,1,1,3
1.488,103.663,16,2,6,0
1.488,103.674,0,18,15,0
1.488,103.675,19,17,4,7
1.488,103.676,7,3,6,4
1.488,103.679,10,10,8,16
1.488,103.68,13,3,10,18
1.488,103.683,0,13,17,10
1.488,103.687,20,16,16,19
1.488,103.69,4,14,12,4
1.488,103.693,14,10,3,19
1.488,103.699,11,9,17,11
1.488,103.713,5,12,5,17
1.488,103.714,15,11,16,19
1.488,103.716,12,8,13,4
1.488,103.72,18,18,13,8
1.488,103.722,1,16,13,0
1.488,103.724,18,15,7,19
1.488,103.727,19,9,3,16
1.488,103.733,17,13,18,12
1.488,103.74,15,2,9,14
1.488,103.742,17,6,17,16
1.488,103.743,6,17,6,10
1.488,103.745,8,8,4,12
1.488,103.748,5,1,3,14
1.488,103.749,6,9,12,1
1.488,103.754,16,16,7,11
1.488,103.755,1,12,3,11
1.488,103.757,7,3,15,17
1.488,103.76,10,0,12,18
1.488,103.763,16,7,13,15
1.488,103.765,10,17,14,19
1.488,103.769,1,9,2,1
1.488,103.771,1,17,1,8
1.488,103.773,2,9,9,6
1.488,103.774,1,17,9,0
1.488,103.857,0,8,10,10
1.488,103.876,19,16,15,7
1.488,103.88,8,6,10,8
1.488,103.881,16,19,14,0
1.488,103.882,6,16,14,13
1.488,103.884,0,16,18,0
1.488,103.885,17,15,13,17
1.488,103.886,19,12,18,0
1.488,103.903,14,2,8,5
1.488,103.906,0,0,18,14
1.488,103.91,6,0,20,0
1.488,103.915,0,15,17,1
1.488,103.916,0,4,12,1
1.488,103.932,16,3,15,19
1.488,103.933,12,14,8,4
1.488,103.935,17,4,6,17
1.488,103.936,0,17,7,19
1.489,103.672,6,9,15,1
1.489,103.673,7,1,2,4
1.489,103.677,11,19,12,17
1.489,103.679,9,12,10,18
1.489,103.68,14,7,1,10
1.489,103.681,18,14,10,19
1.489,103.686,13,13,4,10
1.489,103.687,11,3,12,7
1.489,103.688,0,7,2,11
1.489,103.692,0,1,3,8
1.489,103.697,20,9,3,18
1.489,103.704,14,6,9,4
1.489,103.705,0,14,13,0
1.489,103.706,3,17,11,3
1.489,103.715,7,19,18,6
1.489,103.716,2,16,6,2
1.489,103.72,0,19,19,19
1.489,103.725,2,1,1,2
1.489,103.727,7,6,16,0
1.489,103.728,19,14,16,18
1.489,103.73,12,18,19,11
1.489,103.733,10,17,15,17
1.489,103.735,7,3,1,13
1.489,103.736,0,19,4,19
1.489,103.738,14,19,18,11
1.489,103.739,13,12,13,11
1.489,103.742,14,18,16,16
1.489,103.744,5,13,16,15
1.489,103.746,13,11,17,20
1.489,103.748,16,1,8,5
1.489,103.75,0,0,17,0
1.489,103.751,8,0,1,18
1.489,103.752,5,11,7,4
1.489,103.753,4,19,8,4
1.489,103.754,20,18,18,16
1.489,103.755,1,9,12,12
1.489,103.759,12,14,14,19
1.489,103.766,10,18,1,20
1.489,103.767,13,11,10,11
1.489,103.769,16,6,9,11
1.489,103.77,8,10,3,10
1.489,103.771,2,14,12,2
1.489,103.773,4,2,3,1
1.489,103.774,2,5,3,1
1.489,103.775,14,16,18,15
1.489,103.776,16,17,18,0
1.489,103.777,1,13,2,0
1.489,103.855,16,0,20,0
1.489,103.868,19,16,14,7
1.489,103.872,0,15,5,0
1.489,103.877,16,18,16,0
1.489,103.878,7,12,17,17
1.489,103.884,13,4,18,0
1.489,103.91,0,0,19,18
1.489,103.913,17,14,15,15
1.489,103.914,14,19,17,0
1.489,103.931,0,16,16,10
1.489,103.933,13,4,10,15
1.489,103.934,0,20,16,0
1.489,110.349,5,13,7,10
1.489,110.357,20,12,17,0
1.49,103.658,20,16,18,18
1.49,103.659,5,15,8,2
1.49,103.663,19,7,7,12
1.49,103.665,0,15,1,12
1.49,103.669,17,1,17,2
1.49,103.671,0,7,15,0
1.49,103.678,0,15,11,0
1.49,103.68,11,5,7,7
1.49,103.681,7,3,9,20
1.49,103.684,5,6,3,2
1.49,103.686,3,16,9,7
1.49,103.687,9,14,3,0
1.49,103.689,7,4,6,1
1.49,103.692,5,11,7,14
1.49,103.693,6,1,8,0
1.49,103.695,2,2,5,3
1.49,103.697,0,9,5,10
1.49,103.704,18,18,18,16
1.49,103.705,0,20,9,19
1.49,103.706,0,14,9,0
1.49,103.714,16,14,16,12
1.49,103.715,14,7,13,11
1.49,103.719,15,2,10,6
1.49,103.721,6,1,2,10
1.49,103.722,12,12,12,0
1.49,103.724,9,17,15,17
1.49,103.725,0,5,17,0
1.49,103.727,14,18,16,14
1.49,103.728,19,17,17,15
1.49,103.729,18,9,17,14
1.49,103.737,15,7,7,5
1.49,103.741,2,2,3,1
1.49,103.742,3,7,5,11
1.49,103.744,19,13,11,12
1.49,103.749,5,2,4,5
1.49,103.751,0,16,10,4
1.49,103.753,20,3,4,20
1.49,103.754,19,11,12,19
1.49,103.756,14,18,3,16
1.49,103.758,9,19,17,18
1.49,103.761,20,16,4,11
1.49,103.763,19,15,13,14
1.49,103.765,5,10,8,18
1.49,103.766,20,12,5,7
1.49,103.769,4,6,3,2
1.49,103.77,8,14,3,2
1.49,103.771,3,14,9,14
1.49,103.773,20,12,12,19
1.49,103.775,2,2,5,1
1.49,103.84,17,7,19,14
1.49,103.844,12,10,18,17
1.49,103.848,18,18,17,12
1.49,103.85,0,0,20,9
1.49,103.855,2,15,18,12
1.49,103.857,13,7,8,6
1.49,103.868,0,18,19,18
1.49,103.877,0,19,13,11
1.49,103.88,0,19,18,0
1.49,103.882,1,11,18,18
1.49,103.904,0,18,18,13
1.49,103.916,0,6,9,12
1.49,103.929,0,13,18,0
1.49,103.931,11,4,7,11
1.49,110.338,20,0,19,16
1.49,110.342,6,16,9,7
1.49,110.345,17,1,11,0
1.49,110.384,0,0,19,0
1.491,103.68,20,14,15,11
1.491,103.683,12,11,11,13
1.491,103.686,5,17,14,8
1.491,103.687,9,18,6,20
1.491,103.689,4,11,5,8
1.491,103.69,11,4,3,4
1.491,103.693,1,4,1,11
1.491,103.697,11,7,7,14
1.491,103.702,7,11,7,7
1.491,103.705,10,9,13,19
1.491,103.706,0,9,18,19
1.491,103.707,11,17,10,1
1.491,103.709,5,3,6,2
1.491,103.71,19,15,16,17
1.491,103.711,3,11,7,9
1.491,103.712,14,11,12,18
1.491,103.713,9,15,14,11
1.491,103.714,13,10,9,5
1.491,103.715,17,17,18,14
1.491,103.718,5,12,5,4
1.491,103.719,19,19,4,17
1.491,103.72,2,1,1,3
1.491,103.723,18,10,13,19
1.491,103.724,8,13,10,20
1.491,103.726,10,10,12,9
1.491,103.729,4,8,16,13
1.491,103.73,14,11,14,18
1.491,103.731,20,16,8,0
1.491,103.733,10,12,14,2
1.491,103.734,20,14,8,17
1.491,103.735,7,5,8,7
1.491,103.736,15,20,15,17
1.491,103.739,14,11,1,10
1.491,103.742,14,12,13,9
1.491,103.743,2,20,8,10
1.491,103.744,12,7,8,20
1.491,103.745,9,19,11,0
1.491,103.746,12,10,20,0
1.491,103.748,11,9,3,10
1.491,103.75,4,5,2,20
1.491,103.754,20,8,4,11
1.491,103.755,13,6,16,1
1.491,103.758,3,18,9,11
1.491,103.76,0,11,19,0
1.491,103.763,9,14,4,0
1.491,103.764,1,2,5,1
1.491,103.768,9,13,7,11
1.491,103.77,2,3,8,4
1.491,103.772,14,13,9,5
1.491,103.774,12,17,6,13
1.491,103.775,2,1,8,11
1.491,103.777,7,4,4,0
1.491,103.854,8,5,17,0
1.491,103.855,0,0,12,0
1.491,103.856,0,17,15,0
1.491,103.863,0,14,17,0
1.491,103.866,16,18,19,19
1.491,103.868,0,18,20,19
1.491,103.869,13,9,17,18
1.491,103.87,15,1,18,1
1.491,103.871,18,17,15,0
1.491,103.872,17,18,12,17
1.491,103.879,14,8,17,4
1.491,103.882,0,7,13,0
1.491,103.923,0,19,18,0
1.491,103.925,0,19,20,0
1.491,103.927,0,15,17,19
1.491,103.928,0,15,19,0
1.491,103.929,0,19,20,0
1.491,103.93,12,10,15,14
1.491,110.347,0,3,2,12
1.491,110.358,7,9,9,12
1.492,103.424,0,15,7,0
1.492,103.665,14,19,17,0
1.492,103.669,7,12,12,13
1.492,103.674,14,19,17,14
1.492,103.68,18,9,6,15
1.492,103.681,13,10,11,0
1.492,103.684,15,7,2,16
1.492,103.687,12,12,4,16
1.492,103.694,7,7,3,2
1.492,103.697,4,9,5,10
1.492,103.699,13,5,9,0
1.492,103.701,1,2,3,1
1.492,103.702,2,10,7,3
1.492,103.707,8,13,15,10
1.492,103.709,14,1,15,0
1.492,103.71,6,9,15,1
1.492,103.711,14,16,14,2
1.492,103.715,18,2,10,16
1.492,103.716,9,17,12,7
1.492,103.718,18,6,8,15
1.492,103.719,0,6,19,15
1.492,103.723,9,13,9,11
1.492,103.726,6,5,2,12
1.492,103.728,14,11,7,9
1.492,103.729,5,14,4,9
1.492,103.73,6,8,13,8
1.492,103.732,9,9,6,1
1.492,103.734,6,7,7,2
1.492,103.736,0,6,10,16
1.492,103.737,20,3,8,8
1.492,103.741,19,11,10,8
1.492,103.742,3,17,14,18
1.492,103.744,1,12,1,1
1.492,103.746,18,12,16,0
1.492,103.748,15,4,4,18
1.492,103.752,18,13,17,15
1.492,103.753,17,7,4,13
1.492,103.757,7,3,2,9
1.492,103.759,19,18,18,16
1.492,103.76,3,12,5,8
1.492,103.761,17,17,13,20
1.492,103.767,2,11,2,0
1.492,103.77,10,16,14,16
1.492,103.773,3,16,8,4
1.492,103.774,2,8,2,1
1.492,103.775,11,1,1,15
1.492,103.779,9,19,6,11
1.492,103.833,0,14,10,18
1.492,103.834,15,17,19,0
1.492,103.844,1,0,16,0
1.492,103.845,16,18,8,0
1.492,103.846,0,18,19,12
1.492,103.85,16,9,17,12
1.492,103.851,0,17,15,19
1.492,103.858,0,17,11,0
1.492,103.859,18,3,11,0
1.492,103.864,14,10,16,16
1.492,103.868,14,13,16,18
1.492,103.869,0,13,16,18
1.492,103.871,0,19,13,19
1.492,103.875,20,7,15,13
1.492,103.876,17,17,6,8
1.492,103.877,6,3,3,12
1.492,103.878,0,19,19,18
1.492,103.911,18,15,19,20
1.492,103.914,0,18,13,6
1.492,103.922,0,10,11,13
1.492,103.927,16,18,19,0
1.492,103.929,15,10,3,17
1.492,110.346,7,19,13,4
1.492,110.35,1,20,7,7
1.493,103.67,1,1,5,17
1.493,103.671,0,18,19,17
1.493,103.672,15,13,8,1
1.493,103.673,0,19,16,0
1.493,103.674,14,7,10,6
1.493,103.676,0,11,12,19
1.493,103.677,1,1,1,2
1.493,103.679,14,15,8,5
1.493,103.681,14,9,4,5
1.493,103.683,8,13,6,13
1.493,103.684,19,10,5,12
1.493,103.686,6,8,1,9
1.493,103.687,2,9,3,12
1.493,103.688,16,13,7,17
1.493,103.689,9,10,11,17
1.493,103.692,13,15,5,19
1.493,103.693,0,3,14,19
1.493,103.695,13,6,3,10
1.493,103.696,11,14,6,16
1.493,103.697,1,6,5,14
1.493,103.699,2,7,9,17
1.493,103.703,4,4,5,9
1.493,103.705,8,12,5,4
1.493,103.711,10,4,10,15
1.493,103.715,18,16,16,18
1.493,103.716,13,12,6,12
1.493,103.717,7,10,6,5
1.493,103.721,19,14,13,11
1.493,103.722,10,2,6,17
1.493,103.723,0,7,14,0
1.493,103.724,5,6,7,7
1.493,103.726,18,8,3,10
1.493,103.727,9,13,5,4
1.493,103.728,17,12,17,15
1.493,103.729,12,20,5,19
1.493,103.73,20,20,16,8
1.493,103.732,13,17,12,7
1.493,103.733,0,19,12,18
1.493,103.738,17,18,6,15
1.493,103.739,12,11,16,16
1.493,103.741,15,14,17,15
1.493,103.743,9,11,16,4
1.493,103.745,9,14,12,17
1.493,103.748,12,16,13,0
1.493,103.75,5,7,4,11
1.493,103.751,1,8,10,1
1.493,103.752,4,19,13,1
1.493,103.754,15,17,13,0
1.493,103.755,6,17,10,3
1.493,103.756,17,15,9,0
1.493,103.76,10,8,12,13
1.493,103.761,8,7,13,0
1.493,103.762,7,10,9,20
1.493,103.764,6,8,8,13
1.493,103.766,19,7,7,15
1.493,103.767,11,16,12,16
1.493,103.768,18,16,12,15
1.493,103.772,9,16,15,1
1.493,103.778,4,9,1,4
1.493,103.827,18,5,17,0
1.493,103.829,0,15,19,0
1.493,103.831,17,14,11,13
1.493,103.84,16,6,15,12
1.493,103.841,0,16,5,13
1.493,103.846,4,11,13,0
1.493,103.847,2,7,16,14
1.493,103.848,0,0,15,17
1.493,103.851,3,1,9,7
1.493,103.852,18,20,19,0
1.493,103.857,1,17,16,15
1.493,103.86,19,10,16,0
1.493,103.864,0,16,15,6
1.493,103.865,2,13,8,10
1.493,103.869,0,18,17,16
1.493,103.87,11,16,13,0
1.493,103.874,18,8,17,15
1.493,103.875,0,18,17,14
1.493,103.876,0,13,17,0
1.493,103.91,0,16,17,18
1.493,103.917,0,16,19,18
1.493,103.918,0,15,18,0
1.493,103.919,19,20,19,20
1.493,110.334,0,18,18,0
1.494,103.666,0,4,19,0
1.494,103.674,14,11,9,6
1.494,103.675,19,17,13,0
1.494,103.677,0,13,12,10
1.494,103.679,16,17,16,16
1.494,103.686,0,7,7,0
1.494,103.687,10,10,2,2
1.494,103.688,9,5,1,6
1.494,103.689,1,7,2,2
